ano_mes,empresa,setor_rh,headcount
2006-05,FAELO,Docente,1
2006-06,FAELO,Docente,1
2006-07,FAELO,Docente,1
2006-08,FAELO,Docente,1
2006-09,FAELO,Docente,1
2006-10,FAELO,Docente,1
2006-11,FAELO,Docente,1
2006-12,FAELO,Docente,1
2007-01,FAELO,Docente,1
2007-02,FAELO,Docente,1
2007-03,FAELO,Docente,1
2007-04,FAELO,Docente,1
2007-05,FAELO,Docente,1
2007-06,FAELO,Docente,1
2007-07,FAELO,Docente,1
2007-08,FAELO,Docente,1
2007-09,FAELO,Docente,1
2007-10,FAELO,Docente,1
2007-11,FAELO,Docente,1
2007-12,FAELO,Docente,1
2008-01,FAELO,Docente,1
2008-02,FAELO,Docente,1
2008-03,FAELO,Docente,1
2008-04,FAELO,Docente,1
2008-05,FAELO,Docente,1
2008-06,FAELO,Docente,1
2008-07,FAELO,Docente,1
2008-08,FAELO,Docente,1
2008-09,FAELO,Docente,1
2008-10,FAELO,Docente,1
2008-11,FAELO,Docente,1
2008-12,FAELO,Docente,1
2009-01,FAELO,Docente,1
2009-02,FAELO,Docente,1
2009-03,FAELO,Docente,1
2009-04,FAELO,Docente,1
2009-05,FAELO,Docente,1
2009-06,FAELO,Docente,1
2009-07,FAELO,Docente,1
2009-08,FAELO,Docente,1
2009-09,FAELO,Docente,1
2009-10,FAELO,Docente,1
2009-11,FAELO,Docente,1
2009-12,FAELO,Docente,1
2010-01,FAELO,Docente,1
2010-02,FAELO,Docente,1
2010-03,FAELO,Docente,1
2010-04,FAELO,Docente,1
2010-05,FAELO,Docente,1
2010-06,FAELO,Docente,1
2010-07,FAELO,Docente,1
2010-08,FAELO,Docente,1
2010-09,FAELO,Docente,1
2010-10,FAELO,Docente,1
2010-11,FAELO,Docente,1
2010-12,FAELO,Docente,1
2011-01,FAELO,Docente,1
2011-02,FAELO,Docente,1
2011-03,FAELO,Docente,1
2011-04,FAELO,Docente,1
2011-05,FAELO,Docente,1
2011-06,FAELO,Docente,1
2011-07,FAELO,Docente,1
2011-08,FAELO,Docente,1
2011-09,FAELO,Docente,1
2011-10,FAELO,Docente,1
2011-11,FAELO,Docente,1
2011-12,FAELO,Docente,1
2012-01,FAELO,Docente,1
2012-02,FAELO,Docente,1
2012-03,FAELO,Docente,1
2012-04,FAELO,Docente,1
2012-05,FAELO,Docente,1
2012-06,FAELO,Docente,1
2012-07,FAELO,Docente,1
2012-08,FAELO,Docente,1
2012-09,FAELO,Docente,1
2012-10,FAELO,Docente,1
2012-11,FAELO,Docente,1
2012-12,FAELO,Docente,1
2013-01,FAELO,Docente,1
2013-02,FAELO,Docente,1
2013-03,FAELO,Docente,1
2013-04,FAELO,Docente,1
2013-05,FAELO,Docente,1
2013-06,FAELO,Docente,1
2013-07,FAELO,Docente,1
2013-08,FAELO,Docente,1
2013-09,FAELO,Docente,1
2013-10,FAELO,Docente,1
2013-11,FAELO,Docente,1
2013-12,FAELO,Docente,1
2014-01,FAELO,Docente,1
2014-02,FAELO,Docente,1
2014-03,FAELO,Docente,1
2014-04,FAELO,Docente,1
2014-05,FAELO,Docente,1
2014-06,FAELO,Docente,1
2014-07,FAELO,Docente,1
2014-08,FAELO,Docente,1
2014-09,FAELO,Docente,1
2014-10,FAELO,Docente,1
2014-11,FAELO,Docente,1
2014-12,FAELO,Docente,1
2015-01,FAELO,Docente,1
2015-02,FAELO,Docente,2
2015-03,FAELO,Docente,2
2015-04,FAELO,Docente,2
2015-05,FAELO,Docente,2
2015-06,FAELO,Docente,2
2015-07,FAELO,Docente,2
2015-08,FAELO,Docente,2
2015-09,FAELO,Docente,2
2015-10,FAELO,Docente,2
2015-11,FAELO,Docente,2
2015-12,FAELO,Docente,2
2016-01,FAELO,Docente,2
2016-02,FAELO,Docente,2
2016-03,FAELO,Docente,2
2016-04,FAELO,Docente,2
2016-05,FAELO,Docente,2
2016-06,FAELO,Docente,2
2016-07,FAELO,Docente,2
2016-08,FAELO,Docente,2
2016-09,FAELO,Docente,2
2016-10,FAELO,Docente,2
2016-11,FAELO,Docente,2
2016-12,FAELO,Docente,2
2017-01,FAELO,Docente,2
2017-02,FAELO,Docente,2
2017-03,FAELO,Docente,2
2017-04,FAELO,Docente,2
2017-05,FAELO,Docente,2
2017-06,FAELO,Docente,2
2017-07,FAELO,Docente,2
2017-08,FAELO,Docente,2
2017-09,FAELO,Docente,2
2017-10,FAELO,Docente,2
2017-11,FAELO,Docente,2
2017-12,FAELO,Docente,2
2018-01,FAELO,Docente,2
2018-02,FAELO,Docente,2
2018-03,FAELO,Docente,2
2018-04,FAELO,Docente,2
2018-05,FAELO,Docente,2
2018-06,FAELO,Docente,2
2018-07,FAELO,Docente,2
2018-08,FAELO,Docente,2
2018-09,FAELO,Docente,9
2018-10,FAELO,Docente,9
2018-11,FAELO,Docente,9
2018-12,FAELO,Docente,9
2019-01,FAELO,Docente,9
2019-02,FAELO,Docente,15
2019-03,FAELO,Docente,15
2019-04,FAELO,Docente,16
2019-05,FAELO,Docente,16
2019-06,FAELO,Docente,16
2019-07,FAELO,Docente,15
2019-08,FAELO,Docente,25
2019-09,FAELO,Docente,25
2019-10,FAELO,Docente,25
2019-11,FAELO,Docente,25
2019-12,FAELO,Docente,25
2020-01,FAELO,Docente,24
2020-02,FAELO,Docente,24
2020-03,FAELO,Docente,24
2020-04,FAELO,Docente,24
2020-05,FAELO,Docente,24
2020-06,FAELO,Docente,24
2020-07,FAELO,Docente,24
2020-08,FAELO,Docente,23
2020-09,FAELO,Docente,19
2020-10,FAELO,Docente,19
2020-11,FAELO,Docente,19
2020-12,FAELO,Docente,19
2021-01,FAELO,Docente,16
2021-02,FAELO,Docente,14
2021-03,FAELO,Docente,14
2021-04,FAELO,Docente,14
2021-05,FAELO,Docente,14
2021-06,FAELO,Docente,14
2021-07,FAELO,Docente,14
2021-08,FAELO,Docente,14
2021-09,FAELO,Docente,14
2021-10,FAELO,Docente,14
2021-11,FAELO,Docente,14
2021-12,FAELO,Docente,14
2022-01,FAELO,Docente,14
2022-02,FAELO,Docente,12
2022-03,FAELO,Docente,12
2022-04,FAELO,Docente,12
2022-05,FAELO,Docente,12
2022-06,FAELO,Docente,12
2022-07,FAELO,Docente,12
2022-08,FAELO,Docente,12
2022-09,FAELO,Docente,12
2022-10,FAELO,Docente,12
2022-11,FAELO,Docente,12
2022-12,FAELO,Docente,12
2023-01,FAELO,Docente,10
2023-02,FAELO,Docente,9
2023-03,FAELO,Docente,9
2023-04,FAELO,Docente,9
2023-05,FAELO,Docente,9
2023-06,FAELO,Docente,9
2023-07,FAELO,Docente,9
2023-08,FAELO,Docente,6
2023-09,FAELO,Docente,6
2023-10,FAELO,Docente,6
2023-11,FAELO,Docente,6
2023-12,FAELO,Docente,6
2024-01,FAELO,Docente,2
2024-02,FAELO,Docente,2
2024-03,FAELO,Docente,2
2024-04,FAELO,Docente,2
2024-05,FAELO,Docente,2
2024-06,FAELO,Docente,2
2024-07,FAELO,Docente,2
2024-08,FAELO,Docente,2
2024-09,FAELO,Docente,2
2024-10,FAELO,Docente,2
2024-11,FAELO,Docente,2
2024-12,FAELO,Docente,2
2025-01,FAELO,Docente,2
2025-02,FAELO,Docente,2
2025-03,FAELO,Docente,2
2025-04,FAELO,Docente,2
2025-05,FAELO,Docente,2
2025-06,FAELO,Docente,2
2025-07,FAELO,Docente,2
2025-08,FAELO,Docente,2
2025-09,FAELO,Docente,2
2025-10,FAELO,Docente,2
2025-11,FAELO,Docente,2
2025-12,FAELO,Docente,2
2026-01,FAELO,Docente,2
2026-02,FAELO,Docente,2
2001-04,FAELO,Gestão,1
2001-05,FAELO,Gestão,1
2001-06,FAELO,Gestão,1
2001-07,FAELO,Gestão,1
2001-08,FAELO,Gestão,1
2001-09,FAELO,Gestão,1
2001-10,FAELO,Gestão,1
2001-11,FAELO,Gestão,1
2001-12,FAELO,Gestão,1
2002-01,FAELO,Gestão,1
2002-02,FAELO,Gestão,1
2002-03,FAELO,Gestão,1
2002-04,FAELO,Gestão,1
2002-05,FAELO,Gestão,1
2002-06,FAELO,Gestão,1
2002-07,FAELO,Gestão,1
2002-08,FAELO,Gestão,1
2002-09,FAELO,Gestão,1
2002-10,FAELO,Gestão,1
2002-11,FAELO,Gestão,1
2002-12,FAELO,Gestão,1
2003-01,FAELO,Gestão,1
2003-02,FAELO,Gestão,1
2003-03,FAELO,Gestão,1
2003-04,FAELO,Gestão,1
2003-05,FAELO,Gestão,1
2003-06,FAELO,Gestão,1
2003-07,FAELO,Gestão,1
2003-08,FAELO,Gestão,1
2003-09,FAELO,Gestão,1
2003-10,FAELO,Gestão,1
2003-11,FAELO,Gestão,1
2003-12,FAELO,Gestão,1
2004-01,FAELO,Gestão,1
2004-02,FAELO,Gestão,1
2004-03,FAELO,Gestão,1
2004-04,FAELO,Gestão,1
2004-05,FAELO,Gestão,1
2004-06,FAELO,Gestão,1
2004-07,FAELO,Gestão,1
2004-08,FAELO,Gestão,1
2004-09,FAELO,Gestão,1
2004-10,FAELO,Gestão,1
2004-11,FAELO,Gestão,1
2004-12,FAELO,Gestão,1
2005-01,FAELO,Gestão,1
2005-02,FAELO,Gestão,1
2005-03,FAELO,Gestão,1
2005-04,FAELO,Gestão,1
2005-05,FAELO,Gestão,1
2005-06,FAELO,Gestão,1
2005-07,FAELO,Gestão,1
2005-08,FAELO,Gestão,1
2005-09,FAELO,Gestão,1
2005-10,FAELO,Gestão,1
2005-11,FAELO,Gestão,1
2005-12,FAELO,Gestão,1
2006-01,FAELO,Gestão,1
2006-02,FAELO,Gestão,1
2006-03,FAELO,Gestão,1
2006-04,FAELO,Gestão,1
2006-05,FAELO,Gestão,1
2006-06,FAELO,Gestão,1
2006-07,FAELO,Gestão,1
2006-08,FAELO,Gestão,1
2006-09,FAELO,Gestão,1
2006-10,FAELO,Gestão,1
2006-11,FAELO,Gestão,1
2006-12,FAELO,Gestão,1
2007-01,FAELO,Gestão,1
2007-02,FAELO,Gestão,1
2007-03,FAELO,Gestão,1
2007-04,FAELO,Gestão,1
2007-05,FAELO,Gestão,1
2007-06,FAELO,Gestão,1
2007-07,FAELO,Gestão,1
2007-08,FAELO,Gestão,1
2007-09,FAELO,Gestão,1
2007-10,FAELO,Gestão,1
2007-11,FAELO,Gestão,1
2007-12,FAELO,Gestão,1
2008-01,FAELO,Gestão,1
2008-02,FAELO,Gestão,1
2008-03,FAELO,Gestão,1
2008-04,FAELO,Gestão,1
2008-05,FAELO,Gestão,1
2008-06,FAELO,Gestão,1
2008-07,FAELO,Gestão,1
2008-08,FAELO,Gestão,1
2008-09,FAELO,Gestão,1
2008-10,FAELO,Gestão,1
2008-11,FAELO,Gestão,1
2008-12,FAELO,Gestão,1
2009-01,FAELO,Gestão,1
2009-02,FAELO,Gestão,1
2009-03,FAELO,Gestão,1
2009-04,FAELO,Gestão,1
2009-05,FAELO,Gestão,1
2009-06,FAELO,Gestão,1
2009-07,FAELO,Gestão,1
2009-08,FAELO,Gestão,1
2009-09,FAELO,Gestão,1
2009-10,FAELO,Gestão,1
2009-11,FAELO,Gestão,1
2009-12,FAELO,Gestão,1
2010-01,FAELO,Gestão,1
2010-02,FAELO,Gestão,1
2010-03,FAELO,Gestão,1
2010-04,FAELO,Gestão,1
2010-05,FAELO,Gestão,1
2010-06,FAELO,Gestão,1
2010-07,FAELO,Gestão,1
2010-08,FAELO,Gestão,1
2010-09,FAELO,Gestão,1
2010-10,FAELO,Gestão,1
2010-11,FAELO,Gestão,1
2010-12,FAELO,Gestão,1
2011-01,FAELO,Gestão,1
2011-02,FAELO,Gestão,1
2011-03,FAELO,Gestão,1
2011-04,FAELO,Gestão,1
2011-05,FAELO,Gestão,1
2011-06,FAELO,Gestão,1
2011-07,FAELO,Gestão,1
2011-08,FAELO,Gestão,1
2011-09,FAELO,Gestão,1
2011-10,FAELO,Gestão,1
2011-11,FAELO,Gestão,1
2011-12,FAELO,Gestão,1
2012-01,FAELO,Gestão,1
2012-02,FAELO,Gestão,1
2012-03,FAELO,Gestão,1
2012-04,FAELO,Gestão,1
2012-05,FAELO,Gestão,1
2012-06,FAELO,Gestão,1
2012-07,FAELO,Gestão,1
2012-08,FAELO,Gestão,1
2012-09,FAELO,Gestão,1
2012-10,FAELO,Gestão,1
2012-11,FAELO,Gestão,1
2012-12,FAELO,Gestão,1
2013-01,FAELO,Gestão,1
2013-02,FAELO,Gestão,1
2013-03,FAELO,Gestão,1
2013-04,FAELO,Gestão,1
2013-05,FAELO,Gestão,1
2013-06,FAELO,Gestão,1
2013-07,FAELO,Gestão,1
2013-08,FAELO,Gestão,1
2013-09,FAELO,Gestão,1
2013-10,FAELO,Gestão,1
2013-11,FAELO,Gestão,1
2013-12,FAELO,Gestão,1
2014-01,FAELO,Gestão,1
2014-02,FAELO,Gestão,1
2014-03,FAELO,Gestão,1
2014-04,FAELO,Gestão,1
2014-05,FAELO,Gestão,1
2014-06,FAELO,Gestão,1
2014-07,FAELO,Gestão,1
2014-08,FAELO,Gestão,1
2014-09,FAELO,Gestão,1
2014-10,FAELO,Gestão,1
2014-11,FAELO,Gestão,1
2014-12,FAELO,Gestão,1
2015-01,FAELO,Gestão,1
2015-02,FAELO,Gestão,1
2015-03,FAELO,Gestão,1
2015-04,FAELO,Gestão,1
2015-05,FAELO,Gestão,1
2015-06,FAELO,Gestão,1
2015-07,FAELO,Gestão,1
2015-08,FAELO,Gestão,1
2015-09,FAELO,Gestão,1
2015-10,FAELO,Gestão,1
2015-11,FAELO,Gestão,1
2015-12,FAELO,Gestão,1
2016-01,FAELO,Gestão,1
2016-02,FAELO,Gestão,1
2016-03,FAELO,Gestão,1
2016-04,FAELO,Gestão,1
2016-05,FAELO,Gestão,1
2016-06,FAELO,Gestão,1
2016-07,FAELO,Gestão,1
2016-08,FAELO,Gestão,1
2016-09,FAELO,Gestão,1
2016-10,FAELO,Gestão,1
2016-11,FAELO,Gestão,1
2016-12,FAELO,Gestão,1
2017-01,FAELO,Gestão,1
2017-02,FAELO,Gestão,1
2017-03,FAELO,Gestão,1
2017-04,FAELO,Gestão,1
2017-05,FAELO,Gestão,1
2017-06,FAELO,Gestão,1
2017-07,FAELO,Gestão,1
2017-08,FAELO,Gestão,1
2017-09,FAELO,Gestão,1
2017-10,FAELO,Gestão,1
2017-11,FAELO,Gestão,1
2017-12,FAELO,Gestão,1
2018-01,FAELO,Gestão,1
2018-02,FAELO,Gestão,1
2018-03,FAELO,Gestão,1
2018-04,FAELO,Gestão,1
2018-05,FAELO,Gestão,1
2018-06,FAELO,Gestão,1
2018-07,FAELO,Gestão,1
2018-08,FAELO,Gestão,1
2018-09,FAELO,Gestão,2
2018-10,FAELO,Gestão,2
2018-11,FAELO,Gestão,2
2018-12,FAELO,Gestão,2
2019-01,FAELO,Gestão,2
2019-02,FAELO,Gestão,2
2019-03,FAELO,Gestão,2
2019-04,FAELO,Gestão,2
2019-05,FAELO,Gestão,2
2019-06,FAELO,Gestão,2
2019-07,FAELO,Gestão,1
2019-08,FAELO,Gestão,1
2019-09,FAELO,Gestão,1
2019-10,FAELO,Gestão,1
2019-11,FAELO,Gestão,1
2019-12,FAELO,Gestão,1
2020-01,FAELO,Gestão,1
2020-02,FAELO,Gestão,1
2020-03,FAELO,Gestão,1
2020-04,FAELO,Gestão,1
2020-05,FAELO,Gestão,1
2020-06,FAELO,Gestão,1
2020-07,FAELO,Gestão,1
2020-08,FAELO,Gestão,1
2020-09,FAELO,Gestão,1
2020-10,FAELO,Gestão,1
2020-11,FAELO,Gestão,1
2020-12,FAELO,Gestão,1
2021-01,FAELO,Gestão,1
2021-02,FAELO,Gestão,1
2021-03,FAELO,Gestão,1
2021-04,FAELO,Gestão,1
2021-05,FAELO,Gestão,1
2021-06,FAELO,Gestão,1
2021-07,FAELO,Gestão,1
2021-08,FAELO,Gestão,1
2021-09,FAELO,Gestão,1
2021-10,FAELO,Gestão,1
2021-11,FAELO,Gestão,1
2021-12,FAELO,Gestão,1
2022-01,FAELO,Gestão,1
2022-02,FAELO,Gestão,1
2022-03,FAELO,Gestão,1
2022-04,FAELO,Gestão,1
2022-05,FAELO,Gestão,1
2022-06,FAELO,Gestão,1
2022-07,FAELO,Gestão,1
2022-08,FAELO,Gestão,1
2022-09,FAELO,Gestão,1
2022-10,FAELO,Gestão,1
2022-11,FAELO,Gestão,1
2022-12,FAELO,Gestão,1
2023-01,FAELO,Gestão,1
2023-02,FAELO,Gestão,1
2023-03,FAELO,Gestão,1
2023-04,FAELO,Gestão,1
2023-05,FAELO,Gestão,1
2023-06,FAELO,Gestão,1
2023-07,FAELO,Gestão,1
2023-08,FAELO,Gestão,1
2023-09,FAELO,Gestão,1
2023-10,FAELO,Gestão,1
2023-11,FAELO,Gestão,1
2023-12,FAELO,Gestão,1
2024-01,FAELO,Gestão,1
2024-02,FAELO,Gestão,1
2024-03,FAELO,Gestão,1
2024-04,FAELO,Gestão,1
2024-05,FAELO,Gestão,1
2024-06,FAELO,Gestão,1
2024-07,FAELO,Gestão,1
2024-08,FAELO,Gestão,1
2024-09,FAELO,Gestão,1
2024-10,FAELO,Gestão,1
2024-11,FAELO,Gestão,1
2024-12,FAELO,Gestão,1
2025-01,FAELO,Gestão,1
2025-02,FAELO,Gestão,1
2025-03,FAELO,Gestão,1
2025-04,FAELO,Gestão,1
2025-05,FAELO,Gestão,1
2025-06,FAELO,Gestão,1
2025-07,FAELO,Gestão,1
2025-08,FAELO,Gestão,1
2025-09,FAELO,Gestão,1
2025-10,FAELO,Gestão,1
2025-11,FAELO,Gestão,1
2025-12,FAELO,Gestão,1
2026-01,FAELO,Gestão,1
2026-02,FAELO,Gestão,1
1988-03,FAELO,Operacional,1
1988-04,FAELO,Operacional,1
1988-05,FAELO,Operacional,1
1988-06,FAELO,Operacional,1
1988-07,FAELO,Operacional,1
1988-08,FAELO,Operacional,1
1988-09,FAELO,Operacional,1
1988-10,FAELO,Operacional,1
1988-11,FAELO,Operacional,1
1988-12,FAELO,Operacional,1
1989-01,FAELO,Operacional,1
1989-02,FAELO,Operacional,1
1989-03,FAELO,Operacional,1
1989-04,FAELO,Operacional,1
1989-05,FAELO,Operacional,1
1989-06,FAELO,Operacional,1
1989-07,FAELO,Operacional,1
1989-08,FAELO,Operacional,1
1989-09,FAELO,Operacional,1
1989-10,FAELO,Operacional,1
1989-11,FAELO,Operacional,1
1989-12,FAELO,Operacional,1
1990-01,FAELO,Operacional,1
1990-02,FAELO,Operacional,1
1990-03,FAELO,Operacional,1
1990-04,FAELO,Operacional,1
1990-05,FAELO,Operacional,1
1990-06,FAELO,Operacional,1
1990-07,FAELO,Operacional,1
1990-08,FAELO,Operacional,1
1990-09,FAELO,Operacional,1
1990-10,FAELO,Operacional,1
1990-11,FAELO,Operacional,1
1990-12,FAELO,Operacional,1
1991-01,FAELO,Operacional,1
1991-02,FAELO,Operacional,1
1991-03,FAELO,Operacional,2
1991-04,FAELO,Operacional,2
1991-05,FAELO,Operacional,2
1991-06,FAELO,Operacional,2
1991-07,FAELO,Operacional,2
1991-08,FAELO,Operacional,2
1991-09,FAELO,Operacional,2
1991-10,FAELO,Operacional,2
1991-11,FAELO,Operacional,2
1991-12,FAELO,Operacional,2
1992-01,FAELO,Operacional,2
1992-02,FAELO,Operacional,2
1992-03,FAELO,Operacional,2
1992-04,FAELO,Operacional,2
1992-05,FAELO,Operacional,2
1992-06,FAELO,Operacional,2
1992-07,FAELO,Operacional,2
1992-08,FAELO,Operacional,2
1992-09,FAELO,Operacional,2
1992-10,FAELO,Operacional,2
1992-11,FAELO,Operacional,2
1992-12,FAELO,Operacional,2
1993-01,FAELO,Operacional,2
1993-02,FAELO,Operacional,2
1993-03,FAELO,Operacional,2
1993-04,FAELO,Operacional,2
1993-05,FAELO,Operacional,2
1993-06,FAELO,Operacional,2
1993-07,FAELO,Operacional,2
1993-08,FAELO,Operacional,2
1993-09,FAELO,Operacional,2
1993-10,FAELO,Operacional,2
1993-11,FAELO,Operacional,2
1993-12,FAELO,Operacional,2
1994-01,FAELO,Operacional,2
1994-02,FAELO,Operacional,2
1994-03,FAELO,Operacional,2
1994-04,FAELO,Operacional,2
1994-05,FAELO,Operacional,2
1994-06,FAELO,Operacional,2
1994-07,FAELO,Operacional,2
1994-08,FAELO,Operacional,2
1994-09,FAELO,Operacional,2
1994-10,FAELO,Operacional,2
1994-11,FAELO,Operacional,2
1994-12,FAELO,Operacional,3
1995-01,FAELO,Operacional,3
1995-02,FAELO,Operacional,3
1995-03,FAELO,Operacional,3
1995-04,FAELO,Operacional,3
1995-05,FAELO,Operacional,3
1995-06,FAELO,Operacional,3
1995-07,FAELO,Operacional,3
1995-08,FAELO,Operacional,3
1995-09,FAELO,Operacional,3
1995-10,FAELO,Operacional,3
1995-11,FAELO,Operacional,3
1995-12,FAELO,Operacional,3
1996-01,FAELO,Operacional,3
1996-02,FAELO,Operacional,3
1996-03,FAELO,Operacional,3
1996-04,FAELO,Operacional,3
1996-05,FAELO,Operacional,3
1996-06,FAELO,Operacional,3
1996-07,FAELO,Operacional,3
1996-08,FAELO,Operacional,3
1996-09,FAELO,Operacional,3
1996-10,FAELO,Operacional,3
1996-11,FAELO,Operacional,3
1996-12,FAELO,Operacional,3
1997-01,FAELO,Operacional,3
1997-02,FAELO,Operacional,3
1997-03,FAELO,Operacional,3
1997-04,FAELO,Operacional,3
1997-05,FAELO,Operacional,3
1997-06,FAELO,Operacional,3
1997-07,FAELO,Operacional,3
1997-08,FAELO,Operacional,4
1997-09,FAELO,Operacional,4
1997-10,FAELO,Operacional,4
1997-11,FAELO,Operacional,4
1997-12,FAELO,Operacional,4
1998-01,FAELO,Operacional,4
1998-02,FAELO,Operacional,4
1998-03,FAELO,Operacional,4
1998-04,FAELO,Operacional,4
1998-05,FAELO,Operacional,4
1998-06,FAELO,Operacional,4
1998-07,FAELO,Operacional,4
1998-08,FAELO,Operacional,4
1998-09,FAELO,Operacional,4
1998-10,FAELO,Operacional,4
1998-11,FAELO,Operacional,4
1998-12,FAELO,Operacional,4
1999-01,FAELO,Operacional,4
1999-02,FAELO,Operacional,5
1999-03,FAELO,Operacional,5
1999-04,FAELO,Operacional,5
1999-05,FAELO,Operacional,5
1999-06,FAELO,Operacional,5
1999-07,FAELO,Operacional,5
1999-08,FAELO,Operacional,5
1999-09,FAELO,Operacional,5
1999-10,FAELO,Operacional,5
1999-11,FAELO,Operacional,5
1999-12,FAELO,Operacional,5
2000-01,FAELO,Operacional,5
2000-02,FAELO,Operacional,5
2000-03,FAELO,Operacional,5
2000-04,FAELO,Operacional,5
2000-05,FAELO,Operacional,5
2000-06,FAELO,Operacional,5
2000-07,FAELO,Operacional,5
2000-08,FAELO,Operacional,5
2000-09,FAELO,Operacional,5
2000-10,FAELO,Operacional,5
2000-11,FAELO,Operacional,5
2000-12,FAELO,Operacional,5
2001-01,FAELO,Operacional,5
2001-02,FAELO,Operacional,5
2001-03,FAELO,Operacional,5
2001-04,FAELO,Operacional,5
2001-05,FAELO,Operacional,5
2001-06,FAELO,Operacional,5
2001-07,FAELO,Operacional,5
2001-08,FAELO,Operacional,5
2001-09,FAELO,Operacional,5
2001-10,FAELO,Operacional,5
2001-11,FAELO,Operacional,5
2001-12,FAELO,Operacional,5
2002-01,FAELO,Operacional,5
2002-02,FAELO,Operacional,5
2002-03,FAELO,Operacional,5
2002-04,FAELO,Operacional,5
2002-05,FAELO,Operacional,5
2002-06,FAELO,Operacional,5
2002-07,FAELO,Operacional,5
2002-08,FAELO,Operacional,5
2002-09,FAELO,Operacional,5
2002-10,FAELO,Operacional,5
2002-11,FAELO,Operacional,5
2002-12,FAELO,Operacional,5
2003-01,FAELO,Operacional,5
2003-02,FAELO,Operacional,5
2003-03,FAELO,Operacional,5
2003-04,FAELO,Operacional,5
2003-05,FAELO,Operacional,5
2003-06,FAELO,Operacional,5
2003-07,FAELO,Operacional,5
2003-08,FAELO,Operacional,5
2003-09,FAELO,Operacional,5
2003-10,FAELO,Operacional,5
2003-11,FAELO,Operacional,5
2003-12,FAELO,Operacional,5
2004-01,FAELO,Operacional,5
2004-02,FAELO,Operacional,5
2004-03,FAELO,Operacional,5
2004-04,FAELO,Operacional,5
2004-05,FAELO,Operacional,5
2004-06,FAELO,Operacional,5
2004-07,FAELO,Operacional,5
2004-08,FAELO,Operacional,6
2004-09,FAELO,Operacional,6
2004-10,FAELO,Operacional,6
2004-11,FAELO,Operacional,6
2004-12,FAELO,Operacional,6
2005-01,FAELO,Operacional,6
2005-02,FAELO,Operacional,7
2005-03,FAELO,Operacional,7
2005-04,FAELO,Operacional,7
2005-05,FAELO,Operacional,7
2005-06,FAELO,Operacional,7
2005-07,FAELO,Operacional,7
2005-08,FAELO,Operacional,7
2005-09,FAELO,Operacional,7
2005-10,FAELO,Operacional,7
2005-11,FAELO,Operacional,7
2005-12,FAELO,Operacional,7
2006-01,FAELO,Operacional,7
2006-02,FAELO,Operacional,7
2006-03,FAELO,Operacional,7
2006-04,FAELO,Operacional,7
2006-05,FAELO,Operacional,7
2006-06,FAELO,Operacional,7
2006-07,FAELO,Operacional,7
2006-08,FAELO,Operacional,7
2006-09,FAELO,Operacional,7
2006-10,FAELO,Operacional,7
2006-11,FAELO,Operacional,7
2006-12,FAELO,Operacional,7
2007-01,FAELO,Operacional,7
2007-02,FAELO,Operacional,7
2007-03,FAELO,Operacional,7
2007-04,FAELO,Operacional,7
2007-05,FAELO,Operacional,7
2007-06,FAELO,Operacional,7
2007-07,FAELO,Operacional,7
2007-08,FAELO,Operacional,7
2007-09,FAELO,Operacional,7
2007-10,FAELO,Operacional,7
2007-11,FAELO,Operacional,7
2007-12,FAELO,Operacional,7
2008-01,FAELO,Operacional,7
2008-02,FAELO,Operacional,7
2008-03,FAELO,Operacional,7
2008-04,FAELO,Operacional,7
2008-05,FAELO,Operacional,7
2008-06,FAELO,Operacional,7
2008-07,FAELO,Operacional,7
2008-08,FAELO,Operacional,7
2008-09,FAELO,Operacional,7
2008-10,FAELO,Operacional,7
2008-11,FAELO,Operacional,7
2008-12,FAELO,Operacional,7
2009-01,FAELO,Operacional,7
2009-02,FAELO,Operacional,7
2009-03,FAELO,Operacional,7
2009-04,FAELO,Operacional,7
2009-05,FAELO,Operacional,7
2009-06,FAELO,Operacional,7
2009-07,FAELO,Operacional,7
2009-08,FAELO,Operacional,7
2009-09,FAELO,Operacional,7
2009-10,FAELO,Operacional,7
2009-11,FAELO,Operacional,7
2009-12,FAELO,Operacional,7
2010-01,FAELO,Operacional,7
2010-02,FAELO,Operacional,7
2010-03,FAELO,Operacional,7
2010-04,FAELO,Operacional,7
2010-05,FAELO,Operacional,7
2010-06,FAELO,Operacional,7
2010-07,FAELO,Operacional,7
2010-08,FAELO,Operacional,7
2010-09,FAELO,Operacional,7
2010-10,FAELO,Operacional,7
2010-11,FAELO,Operacional,7
2010-12,FAELO,Operacional,7
2011-01,FAELO,Operacional,7
2011-02,FAELO,Operacional,7
2011-03,FAELO,Operacional,7
2011-04,FAELO,Operacional,7
2011-05,FAELO,Operacional,8
2011-06,FAELO,Operacional,8
2011-07,FAELO,Operacional,8
2011-08,FAELO,Operacional,9
2011-09,FAELO,Operacional,9
2011-10,FAELO,Operacional,9
2011-11,FAELO,Operacional,9
2011-12,FAELO,Operacional,9
2012-01,FAELO,Operacional,12
2012-02,FAELO,Operacional,12
2012-03,FAELO,Operacional,12
2012-04,FAELO,Operacional,12
2012-05,FAELO,Operacional,12
2012-06,FAELO,Operacional,12
2012-07,FAELO,Operacional,12
2012-08,FAELO,Operacional,12
2012-09,FAELO,Operacional,12
2012-10,FAELO,Operacional,12
2012-11,FAELO,Operacional,12
2012-12,FAELO,Operacional,12
2013-01,FAELO,Operacional,12
